[[,name,club,age,age_cat,position,position_cat,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,new_signing,special,height_cm,weight_kg,eur_value,eur_wage,overall,pac,sho,pas,dri,def,phy,international_reputation,preferred_foot,big_club
128,Eden Hazard,Chelsea,26,3,LW,1,4220,10.5,2.30%,224,2,Belgium,0,0,2096,173,76,90.50,295000,90,90,82,84,92,32,66,4,Right,1
244,Kevin De Bruyne,Manchester City,26,3,AM,1,2252,10,17.50%,199,2,Belgium,0,0,2162,181,68,83.00,285000,89,75,84,88,85,45,75,4,Right,1
23,Alexis Sanchez,Arsenal,28,4,LW,1,4329,12,17.10%,264,3,Chile,0,0,2181,169,62,67.50,265000,89,86,84,80,89,40,78,4,Right,1
332,Paul Pogba,Manchester United,24,2,CM,2,7435,8,19.50%,115,2,France,0,1,2238,191,84,66.50,195000,87,74,79,84,85,68,88,4,Right,1
379,Sergio Agüero,Manchester City,29,4,CF,1,4046,11.5,9.70%,175,3,Argentina,0,0,2074,173,70,66.50,325000,89,87,88,75,89,23,72,4,Right,1
80,Christian Eriksen,Tottenham Hotspur,25,3,AM,1,1130,9.5,12.00%,218,2,Denmark,0,0,2064,182,76,65.00,165000,87,75,78,88,84,47,63,3,Right,0
108,David de Gea,Manchester United,26,3,GK,4,2126,5.5,26.10%,136,2,Spain,0,0,1458,193,76,64.50,215000,90,90,85,87,90,58,86,4,Right,1
296,Mesut Ozil,Arsenal,28,4,AM,1,4395,9.5,5.60%,167,2,Germany,0,0,1927,180,76,60.00,265000,88,71,74,87,86,24,58,4,Left,1
164,Harry Kane,Tottenham Hotspur,23,2,CF,1,4161,12.5,35.10%,224,1,England,0,0,2062,188,86,59.00,165000,86,73,87,72,78,42,83,3,Right,0
356,Romelu Lukaku,Manchester United,24,2,CF,1,3727,11.5,45.00%,221,2,Belgium,0,0,1998,190,94,59.00,210000,86,83,85,70,74,34,84,3,Left,1
400,Thibaut Courtois,Chelsea,25,3,GK,4,1260,5.5,18.50%,141,2,Belgium,0,0,1282,199,94,59.00,190000,89,85,91,69,88,49,86,4,Left,1
343,Philippe Coutinho,Liverpool,25,3,AM,1,2958,9,30.80%,171,3,Brazil,0,0,2049,171,71,56.00,205000,86,82,78,83,88,35,64,3,Right,1
311,N'Golo Kanté,Chelsea,26,3,DM,2,4042,5,13.80%,83,2,France,0,1,2154,168,68,52.50,190000,87,81,66,75,79,81,84,3,Right,1
25,Alvaro Morata,Chelsea,24,2,CF,1,2648,10.6,21.30%,76,2,Spain,1,1,1880,189,85,51.00,170000,85,83,81,71,80,24,74,3,Right,1
22,Alexandre Lacazette,Arsenal,26,3,CF,1,1183,10.5,26.50%,0,2,France,1,0,2063,175,73,48.50,180000,85,86,83,71,85,38,77,3,Right,1
173,Ilkay Gundogan,Manchester City,26,3,CM,2,1586,5.5,1.00%,41,2,Germany,0,1,2148,180,80,46.00,190000,85,71,74,83,87,64,71,3,Right,1
111,David Silva,Manchester City,31,4,AM,1,1434,8,3.30%,130,2,Spain,0,0,1977,173,67,44.00,220000,87,68,72,87,87,38,61,4,Left,1
60,Bernardo Silva,Manchester City,22,2,RW,1,1098,8,4.60%,0,2,Portugal,1,0,2012,173,64,43.50,165000,84,81,72,81,90,45,61,2,Left,1
120,Dele Alli,Tottenham Hotspur,21,1,CM,2,4626,9.5,38.60%,225,1,England,0,0,2122,188,80,43.00,115000,84,76,81,77,82,64,78,3,Right,0
68,Cesc Fabregas,Chelsea,30,4,CM,2,2378,7,7.50%,121,2,Spain,0,0,2118,180,77,41.00,210000,86,63,77,88,80,61,64,4,Right,1
404,Toby Alderweireld,Tottenham Hotspur,28,4,CB,3,756,6,13.30%,120,2,Belgium,0,0,2047,187,91,40.50,165000,86,66,58,72,65,87,80,3,Right,0
169,Henrikh Mkhitaryan,Manchester United,28,4,AM,1,3312,8,4.50%,73,4,Armenia,0,1,2148,177,75,39.00,195000,85,86,79,80,87,54,70,3,Right,1
362,Sadio Mané,Liverpool,25,3,LW,1,3219,9.5,5.30%,156,4,Senegal,0,1,2046,175,69,39.00,175000,84,93,78,75,85,36,75,3,Right,1
