name,club,age,special,height_cm,weight_kg,eur_value,eur_wage,overall,pac,sho,pas,dri,def,phy,international_reputation,preferred_foot
Aaron Ramsey,Arsenal,26,2114,183,76,25500000,130000,82,68,75,79,81,65,75,3,Right
Alex Iwobi,Arsenal,21,1698,180,75,9500000,64000,74,78,61,66,82,28,65,1,Right
Alexandre Lacazette,Arsenal,26,2063,175,73,48500000,180000,85,86,83,71,85,38,77,3,Right
Alexis Sanchez,Arsenal,28,2181,169,62,67500000,265000,89,86,84,80,89,40,78,4,Right
Calum Chambers,Arsenal,22,1878,183,66,9000000,64000,75,64,51,66,69,75,76,1,Right
Danny Welbeck,Arsenal,26,1972,185,73,17500000,130000,80,84,74,71,79,37,78,3,Right
David Ospina,Arsenal,28,1159,183,80,9000000,91000,79,83,71,78,84,34,77,2,Right
Francis Coquelin,Arsenal,26,1965,178,74,12000000,110000,79,66,52,67,75,78,80,2,Right
Granit Xhaka,Arsenal,24,1991,185,82,27500000,110000,82,50,66,79,72,72,78,3,Left
Hector Bellerin,Arsenal,22,2005,178,74,21000000,91000,81,95,51,69,78,75,70,3,Right
Jack Wilshere,Arsenal,25,2102,172,68,22000000,115000,81,71,69,80,82,62,72,3,Left
Laurent Koscielny,Arsenal,31,1866,186,75,21000000,150000,84,75,41,62,65,85,78,3,Right
Mesut Ozil,Arsenal,28,1927,180,76,60000000,265000,88,71,74,87,86,24,58,4,Left
Mohamed Elneny,Arsenal,24,1959,180,70,10000000,76000,77,60,61,73,70,72,78,1,Right
Nacho Monreal,Arsenal,31,2021,179,72,10000000,110000,80,76,53,72,75,80,74,2,Left
Olivier Giroud,Arsenal,30,1933,192,88,21500000,140000,82,53,81,70,73,38,83,3,Left
Per Mertesacker,Arsenal,32,1558,198,90,10000000,110000,81,27,41,55,47,85,70,3,Right
Petr Cech,Arsenal,35,1206,196,90,10500000,92000,86,82,87,76,81,42,83,4,Left
Rob Holding,Arsenal,21,1654,189,75,5500000,40000,72,62,34,53,65,73,74,1,Right
Santi Cazorla,Arsenal,32,2120,168,66,19500000,130000,83,65,76,85,85,61,63,3,Right
Sead Kolasinac,Arsenal,24,1888,183,85,15500000,91000,80,78,53,61,64,78,89,2,Left
Shkodran Mustafi,Arsenal,25,1942,184,82,31500000,145000,84,67,57,63,62,83,79,3,Right
Theo Walcott,Arsenal,28,1976,176,68,15000000,125000,80,91,75,72,80,38,66,3,Right
Adam Federici,Bournemouth,32,1293,188,90,2300000,41000,73,73,69,78,73,47,70,1,Right
Adam Smith,Bournemouth,26,1903,180,78,4100000,51000,73,76,55,69,73,71,69,1,Right
Andrew Surman,Bournemouth,30,1947,178,73,6000000,56000,75,61,64,75,72,64,71,1,Left
Artur Boruc,Bournemouth,37,1172,193,87,600000,32000,77,77,73,62,82,38,77,2,Right
Asmir Begovic,Bournemouth,30,1233,199,83,14000000,64000,82,81,81,73,82,55,79,3,Right
Benik Afobe,Bournemouth,24,1776,183,78,7500000,53000,74,80,73,60,71,26,72,1,Right
Brad Smith,Bournemouth,23,1686,177,70,700000,13000,65,83,43,61,59,56,68,1,Left
Callum Wilson,Bournemouth,25,1870,180,66,8500000,58000,75,90,73,63,74,34,76,1,Right
Charlie Daniels,Bournemouth,30,1983,178,75,4800000,51000,75,76,55,72,74,72,70,1,Left
Dan Gosling,Bournemouth,27,1951,183,79,4100000,56000,73,62,68,70,68,67,71,1,Right
Harry Arter,Bournemouth,27,2030,176,70,10000000,66000,77,67,72,74,74,67,77,1,Right
Jermain Defoe,Bournemouth,34,1880,171,65,8000000,87000,80,74,85,61,79,25,65,2,Right
Jordon Ibe,Bournemouth,21,1803,176,81,4600000,31000,72,85,67,62,77,45,66,1,Right
Joshua King,Bournemouth,25,1828,180,74,11500000,69000,77,90,77,60,76,29,70,1,Right
Junior Stanislas,Bournemouth,27,1754,183,76,4200000,56000,73,80,68,71,73,32,56,1,Right
Lewis Cook,Bournemouth,20,1881,175,71,4600000,31000,71,73,56,68,76,63,70,1,Right
Lys Mousset,Bournemouth,21,1539,184,80,1500000,29000,69,80,72,39,67,21,60,1,Right
Marc Pugh,Bournemouth,30,1830,180,72,3800000,56000,73,71,66,67,76,39,68,1,Right
Nathan Ake,Bournemouth,22,1892,180,75,9500000,44000,75,76,49,67,66,75,74,1,Left
Ryan Fraser,Bournemouth,23,1832,163,60,5500000,49000,73,88,64,68,76,42,55,1,Right
Simon Francis,Bournemouth,32,1828,183,90,4400000,61000,76,65,43,69,67,76,76,1,Right
Steve Cook,Bournemouth,26,1581,185,82,9000000,61000,77,56,27,52,60,77,77,1,Right
Tyrone Mings,Bournemouth,24,1710,196,77,2800000,31000,71,74,36,61,66,69,77,1,Left
Anthony Knockaert,Brighton & Hove Albion,25,1922,172,69,9500000,50000,76,75,72,72,81,31,67,1,Left
Beram Kayal,Brighton & Hove Albion,29,1992,178,74,3800000,46000,73,71,61,70,73,67,81,1,Right
Bruno Saltor Grau,Brighton & Hove Albion,36,1869,178,75,450000,29000,73,62,45,70,71,74,68,1,Right
Connor Goldson,Brighton & Hove Albion,24,1558,191,85,2100000,25000,70,68,40,52,56,69,73,1,Right
Dale Stephens,Brighton & Hove Albion,28,1993,185,71,5500000,46000,74,63,65,73,67,71,75,1,Right
Davy Pröpper,Brighton & Hove Albion,25,2033,185,79,11000000,50000,77,67,72,73,75,61,75,2,Right
Gaëtan Bong,Brighton & Hove Albion,29,1818,183,74,2400000,30000,72,70,41,68,70,71,74,1,Left
Glenn Murray,Brighton & Hove Albion,33,1763,185,84,2500000,48000,73,49,73,59,66,35,74,1,Right
Jamie Murphy,Brighton & Hove Albion,27,1839,178,72,1900000,31000,70,79,68,64,70,39,69,1,Right
Jiri Skalak,Brighton & Hove Albion,25,1766,177,76,1100000,25000,68,68,64,65,71,29,65,1,Right
Lewis Dunk,Brighton & Hove Albion,25,1585,192,88,7500000,38000,75,50,37,51,60,74,79,1,Right
Liam Rosenior,Brighton & Hove Albion,32,1813,178,77,1300000,29000,71,69,52,59,69,71,67,1,Right
Markus Suttner,Brighton & Hove Albion,30,1985,179,73,2900000,40000,73,74,58,72,72,69,71,1,Left
Mathew Ryan,Brighton & Hove Albion,25,1341,184,82,8000000,36000,77,76,74,90,78,52,74,1,Right
Niki Maenpaa,Brighton & Hove Albion,32,1008,190,86,525000,19000,68,70,68,56,66,35,64,1,Right
Pascal Groß,Brighton & Hove Albion,26,2054,181,76,9500000,52000,76,66,70,79,74,62,76,2,Right
Sam Baldock,Brighton & Hove Albion,28,1765,170,67,1800000,36000,70,80,69,50,72,33,64,1,Right
Shane Duffy,Brighton & Hove Albion,25,1626,193,76,6500000,38000,74,51,42,51,46,72,79,1,Right
Solly March,Brighton & Hove Albion,22,1789,180,88,4800000,27000,72,83,67,66,77,38,61,1,Left
Steve Sidwell,Brighton & Hove Albion,34,1929,178,80,1200000,31000,71,46,69,70,68,70,69,1,Right
Tim Krul,Brighton & Hove Albion,29,1242,188,74,7000000,41000,77,77,77,69,77,42,75,2,Left
Tomer Hemed,Brighton & Hove Albion,30,1718,186,80,3000000,34000,72,56,73,52,66,32,73,1,Right
Uwe Hünemeier,Brighton & Hove Albion,31,1720,189,84,1600000,29000,71,57,46,59,56,71,68,1,Right
Adam Legzdins,Burnley,30,1077,191,78,350000,10000,65,65,61,65,66,32,64,1,Right
Anders Lindegaard,Burnley,33,1205,193,79,450000,21000,68,68,70,69,67,50,65,2,Right
Ashley Barnes,Burnley,27,1891,186,76,6000000,53000,74,67,73,63,73,42,81,1,Right
Ashley Westwood,Burnley,27,1895,170,67,4500000,48000,73,65,53,76,71,63,66,1,Right
Ben Mee,Burnley,27,1782,180,74,10000000,53000,78,66,37,58,65,77,82,1,Left
Chris Wood,Burnley,25,1847,191,95,8500000,51000,75,71,76,57,67,37,80,1,Right
Dean Marney,Burnley,33,1995,183,72,1800000,35000,72,67,67,71,69,69,79,1,Right
Fredrik Ulvestad,Burnley,25,1807,183,79,800000,13000,66,67,63,64,69,51,67,1,Right
Jack Cork,Burnley,28,2032,185,69,10500000,60000,78,59,62,75,74,76,79,2,Right
James Tarkowski,Burnley,24,1812,191,81,8500000,45000,76,64,43,61,64,75,79,1,Right
Jeff Hendrick,Burnley,25,2067,185,79,8500000,46000,75,72,68,74,75,70,78,1,Right
Johann Berg Gudmundsson,Burnley,26,1966,178,77,4700000,48000,73,78,72,69,76,49,72,1,Left
Jonathan Walters,Burnley,33,1992,183,79,4200000,53000,75,63,73,70,72,59,82,2,Right
Kevin Long,Burnley,26,1572,187,82,1800000,32000,70,63,35,43,52,70,76,1,Right
Matthew Lowton,Burnley,28,2001,180,78,6000000,55000,76,75,60,69,73,74,77,1,Right
Nahki Wells,Burnley,27,1883,170,69,3600000,38000,72,83,71,61,73,43,68,1,Right
Phil Bardsley,Burnley,32,1862,180,74,1700000,32000,72,62,59,60,64,73,76,1,Right
Robbie Brady,Burnley,25,2085,175,69,9500000,55000,76,81,71,75,76,65,69,1,Left
Sam Vokes,Burnley,27,1886,188,90,9000000,63000,76,58,77,64,71,43,83,1,Right
Scott Arfield,Burnley,28,1976,178,70,4000000,51000,73,69,68,72,74,63,68,1,Right
Stephen Ward,Burnley,31,1984,184,82,4400000,44000,75,68,59,69,70,74,78,2,Left
Steven Defour,Burnley,29,2129,175,72,10000000,60000,78,69,71,78,77,74,74,2,Right
Tom Heaton,Burnley,31,1271,188,86,11000000,51000,81,80,79,76,83,54,80,2,Right
Alvaro Morata,Chelsea,24,1880,189,85,51000000,170000,85,83,81,71,80,24,74,3,Right
Andreas Christensen,Chelsea,21,1729,188,78,24000000,86000,81,72,31,62,69,84,72,2,Right
Antonio Rüdiger,Chelsea,24,1838,190,85,24500000,105000,82,74,40,64,63,82,79,2,Right
César Azpilicueta Tanco,Chelsea,27,2099,178,78,37500000,160000,85,79,55,75,74,86,78,3,Right
Cesc Fabregas,Chelsea,30,2118,180,77,41000000,210000,86,63,77,88,80,61,64,4,Right
Danny Drinkwater,Chelsea,27,2069,177,70,14000000,125000,79,68,67,76,77,74,77,2,Right
David Luiz Moreira Marinho,Chelsea,30,2123,189,84,33000000,190000,86,70,64,74,71,84,81,4,Right
Davide Zappacosta,Chelsea,25,2079,182,70,13500000,110000,79,82,66,70,75,75,76,2,Right
Diego da Silva Costa,Chelsea,28,1984,186,87,46000000,235000,86,75,83,65,76,40,88,4,Right
Eden Hazard,Chelsea,26,2096,173,76,90500000,295000,90,90,82,84,92,32,66,4,Right
Eduardo dos Reis Carvalho,Chelsea,34,1245,187,88,2700000,64000,75,75,74,71,75,45,78,2,Right
Gary Cahill,Chelsea,31,1839,193,86,21000000,160000,84,63,58,52,61,84,78,3,Right
Kenedy,Chelsea,21,1858,182,77,4800000,48000,72,80,66,64,76,49,64,1,Left
Marcos Alonso Mendoza,Chelsea,26,2134,188,84,17500000,115000,81,77,69,77,77,77,80,2,Left
Michy Batshuayi,Chelsea,23,1852,185,86,20000000,120000,80,79,80,59,77,27,74,2,Right
N'Golo Kanté,Chelsea,26,2154,168,68,52500000,190000,87,81,66,75,79,81,84,3,Right
Pedro Rodríguez Ledesma,Chelsea,29,1987,169,65,30500000,200000,84,82,77,77,85,37,62,3,Right
Thibaut Courtois,Chelsea,25,1282,199,94,59000000,190000,89,85,91,69,88,49,86,4,Left
Tiémoué Bakayoko,Chelsea,22,1978,189,85,26000000,105000,82,73,49,70,77,81,83,2,Right
Victor Moses,Chelsea,26,2103,177,79,12500000,115000,79,83,71,72,82,70,74,2,Right
