name,club,age,age_cat,position,position_cat,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,new_signing
Aaron Ramsey,Arsenal,26,3,CM,2,1040,7,5.10%,56,1,Wales,0,0
Alex Iwobi,Arsenal,21,1,LW,1,1812,5.5,1.00%,89,4,Nigeria,0,0
Alexandre Lacazette,Arsenal,26,3,CF,1,1183,10.5,26.50%,0,2,France,1,0
Alexis Sanchez,Arsenal,28,4,LW,1,4329,12,17.10%,264,3,Chile,0,0
Danny Welbeck,Arsenal,26,3,CF,1,1521,7.5,0.50%,37,1,England,0,0
David Ospina,Arsenal,28,4,GK,4,544,5,0.20%,2,3,Colombia,0,0
Francis Coquelin,Arsenal,26,3,DM,2,549,4.5,1.70%,52,2,France,0,0
Callum Chambers,Arsenal,22,2,CB,3,552,5,0.10%,45,1,England,0,0
Granit Xhaka,Arsenal,24,2,DM,2,1815,5.5,2.00%,85,2,Switzerland,0,0
Hector Bellerin,Arsenal,22,2,RB,3,1675,6,13.70%,119,2,Spain,0,0
Jack Wilshere,Arsenal,25,3,CM,2,1759,5.5,0.00%,61,1,England,0,0
Laurent Koscielny,Arsenal,31,4,CB,3,912,6,0.70%,121,2,France,0,0
Mesut Ozil,Arsenal,28,4,AM,1,4395,9.5,5.60%,167,2,Germany,0,0
Mohamed Elneny,Arsenal,25,3,DM,2,683,4.5,0.80%,26,4,Egypt,0,0
Nacho Monreal,Arsenal,31,4,LB,3,555,5.5,4.70%,115,2,Spain,0,0
Olivier Giroud,Arsenal,30,4,CF,1,2230,8.5,2.50%,116,2,France,0,0
Per Mertesacker,Arsenal,32,5,CB,3,702,5,1.00%,1,2,Germany,0,0
Petr Cech,Arsenal,35,6,GK,4,1529,5.5,5.90%,134,2,Czech Republic,0,0
Rob Holding,Arsenal,21,1,CB,3,666,5,1.70%,32,1,England,0,1
Santi Cazorla,Arsenal,32,5,CM,2,943,7,0.10%,38,2,Spain,0,0
Sead Kolasinac,Arsenal,24,2,LB,3,618,6,6.90%,0,2,Bosnia,1,0
Shkodran Mustafi,Arsenal,25,3,CB,3,1877,5.5,4.00%,90,2,Germany,0,1
Theo Walcott,Arsenal,28,4,RW,1,2393,7.5,1.50%,122,1,England,0,0
Adam Federici,Bournemouth,32,5,GK,4,126,4,1.50%,8,4,Australia,0,0
Adam Smith,Bournemouth,26,3,RB,3,200,5,0.90%,104,1,England,0,0
Andrew Surman,Bournemouth,30,4,CM,2,154,4.5,1.10%,44,1,England,0,0
Artur Boruc,Bournemouth,37,6,GK,4,436,4.5,6.90%,120,2,Poland,0,0
Asmir Begovic,Bournemouth,30,4,GK,4,697,4.5,9.30%,2,2,Bosnia,0,0
Benik Afobe,Bournemouth,24,2,CF,1,528,6,0.70%,88,4,Congo DR,0,0
Brad Smith,Bournemouth,23,2,LB,3,297,4,3.30%,4,4,Australia,0,0
Callum Wilson,Bournemouth,25,3,CF,1,337,6,0.20%,63,1,England,0,0
Charlie Daniels,Bournemouth,30,4,LB,3,185,5,19.80%,134,1,England,0,0
Dan Gosling,Bournemouth,27,3,CM,2,184,5,0.10%,49,1,England,0,0
Harry Arter,Bournemouth,27,3,CM,2,666,5,0.90%,84,2,Ireland,0,0
Jermain Defoe,Bournemouth,34,6,CF,1,3213,8,15.00%,166,1,England,0,0
Jordon Ibe,Bournemouth,21,1,RW,1,504,5,0.40%,36,1,England,0,0
Joshua King,Bournemouth,25,3,SS,1,997,7.5,10.40%,178,2,Norway,0,0
Junior Stanislas,Bournemouth,27,3,LW,1,315,6,0.60%,107,1,England,0,0
Lewis Cook,Bournemouth,20,1,CM,2,243,4.5,0.80%,17,1,England,0,0
Lys Mousset,Bournemouth,21,1,CF,1,131,5,0.10%,14,2,France,0,0
Marc Pugh,Bournemouth,30,4,LW,1,140,5,0.10%,64,1,England,0,0
Nathan Ake,Bournemouth,22,2,CB,3,1274,5,11.50%,55,2,Netherlands,0,0
Ryan Fraser,Bournemouth,23,2,LW,1,516,5.5,1.60%,100,2,Scotland,0,0
Simon Francis,Bournemouth,32,5,RB,3,167,4.5,4.00%,89,1,England,0,0
Steve Cook,Bournemouth,26,3,CB,3,184,5,2.00%,112,1,England,0,0
Tyrone Mings,Bournemouth,24,2,CB,3,422,4.5,0.40%,4,1,England,0,0
Anthony Knockaert,Brighton & Hove Albion,25,3,RW,1,726,6,4.80%,0,2,France,0,0
Beram Kayal,Brighton & Hove Albion,29,4,CM,2,167,4.5,0.30%,0,4,Israel,0,0
Bruno Saltor Grau,Brighton & Hove Albion,36,6,RB,1,215,4.5,0.40%,0,3,Argentina,0,0
Connor Goldson,Brighton & Hove Albion,24,2,CB,3,52,4,0.80%,0,1,England,0,0
Dale Stephens,Brighton & Hove Albion,27,3,CM,2,122,4.5,0.90%,0,1,England,0,0
Davy Pröpper,Brighton & Hove Albion,25,3,CM,2,257,5.4,0.10%,36,2,Netherlands,1,1
Gaëtan Bong,Brighton & Hove Albion,29,4,LB,3,97,4.5,0.20%,0,4,Cameroon,0,0
Glenn Murray,Brighton & Hove Albion,33,5,CF,1,496,6,1.30%,0,1,England,0,0
Jamie Murphy,Brighton & Hove Albion,27,3,LW,1,114,5,0.10%,0,2,Scotland,0,0
Jiri Skalak,Brighton & Hove Albion,25,3,LW,1,87,5,0.10%,0,2,Czech Republic,0,0
Lewis Dunk,Brighton & Hove Albion,25,3,CB,3,140,4.5,4.10%,0,1,England,0,0
Liam Rosenior,Brighton & Hove Albion,33,5,RB,3,132,4,3.20%,0,1,England,0,0
